state,name,fips,age_over_18,age_over_18_moe,age_over_65,age_over_65_moe,age_over_85,age_over_85_moe,age_under_5,age_under_5_moe,asian,asian_moe,avg_family_size,avg_family_size_moe,bachelors,bachelors_moe,black,black_moe,hispanic,hispanic_moe,household_has_broadband,household_has_broadband_moe,household_has_computer,household_has_computer_moe,household_has_smartphone,household_has_smartphone_moe,households,households_moe,households_speak_asian_or_pac_isl,households_speak_asian_or_pac_isl_moe,households_speak_limited_english,households_speak_limited_english_moe,households_speak_other,households_speak_other_moe,households_speak_other_indo_euro_lang,households_speak_other_indo_euro_lang_moe,households_speak_spanish,households_speak_spanish_moe,housing_mobile_homes,housing_mobile_homes_moe,housing_one_unit_structures,housing_one_unit_structures_moe,housing_two_unit_structures,housing_two_unit_structures_moe,hs_grad,hs_grad_moe,mean_household_income,mean_household_income_moe,mean_work_travel,mean_work_travel_moe,median_age,median_age_moe,median_household_income,median_household_income_moe,median_individual_income,median_individual_income_moe,median_individual_income_age_25plus,median_individual_income_age_25plus_moe,native,native_moe,other_single_race,other_single_race_moe,pac_isl,pac_isl_moe,per_capita_income,per_capita_income_moe,persons_per_household,persons_per_household_moe,pop,pop_moe,poverty,poverty_moe,poverty_65_and_over,poverty_65_and_over_moe,poverty_under_18,poverty_under_18_moe,two_plus_races,two_plus_races_moe,unemployment_rate,unemployment_rate_moe,uninsured,uninsured_moe,uninsured_65_and_older,uninsured_65_and_older_moe,uninsured_under_19,uninsured_under_19_moe,uninsured_under_6,uninsured_under_6_moe,veterans,veterans_moe,white,white_moe,white_not_hispanic,white_not_hispanic_moe
Alabama,Chilton County,1021,75.9,0.1,16,0.1,1.4,0.3,6.3,0.5,0.4,0.2,3.06,0.1,12.7,1.4,9.2,0.7,7.8,NA,68.7,2.6,58.7,3.6,69.1,2.5,16927,473,0.3,0.2,1.5,0.9,0,0.2,0.8,0.5,6.1,0.9,25.5,2.5,33.4,2.5,74.5,2.5,81.8,1.9,62784,4554,32.1,1.5,38.7,0.7,47468,2972,24132,1516,33225,3064,0.8,0.7,3.5,1.5,0,0.1,24658,1693,2.58,0.07,44055,NA,19.1,2.9,11.6,3.3,22.7,6,2.5,0.8,6.5,1.4,13,1.6,0.5,0.8,4.8,1.6,1.2,1.2,7.6,1.2,83.6,1.6,80.1,0.1
Alabama,Choctaw County,1023,79.9,NA,22.6,NA,2.3,0.8,5.3,NA,0.1,0.1,3.07,0.23,11.9,2.4,42.6,0.6,0.4,0.4,61.3,4.2,59.1,3.7,63.7,3.4,5300,267,0,0.6,0,0.6,0,0.6,0.7,0.7,1.5,0.9,19.1,3,29.1,3.6,80.9,3,81.4,2.7,52395,3839,34.5,3.5,46.3,0.3,35892,2854,20652,1620,32442,2923,0.1,0.1,0.1,0.2,0,0.3,22308,1560,2.4,0.12,12925,NA,NA,NA,NA,NA,NA,NA,0.4,0.3,8.7,3.1,10.3,2,0,1.1,1.5,2.1,1.7,2.9,8.6,1.7,56.8,0.4,56.4,0.1
Alabama,Clarke County,1025,78.1,0.1,19.4,0.1,2.4,0.6,5.7,0.1,0.4,0.1,3.46,0.2,12.2,1.7,45.8,0.5,0.3,0.3,57.5,3.8,52.5,2.7,56.8,3.2,9090,350,0.4,0.3,0.1,0.1,0,0.4,0.2,0.2,0.6,0.4,29.9,3.1,26.2,3,70.1,3.1,80.6,2.1,54687,3940,26.6,1.9,42.5,0.8,37404,3257,21613,1245,37329,3728,0.1,0.1,0,0.1,0,0.1,22225,1531,2.61,0.1,24128,NA,NA,NA,NA,NA,NA,NA,0.7,0.4,11.6,2.5,9.7,1.4,1.9,1.3,1.4,1.1,2.9,3.3,6.2,1,53,0.2,52.7,0.1
Alabama,Clay County,1027,79.2,0.4,20.2,0.1,2.1,0.7,5.1,0.2,0.2,0.2,3.04,0.17,10.6,2.4,15.6,0.6,3.1,NA,70.1,4.2,60.6,4.1,70.1,3.7,5198,240,0,0.6,0.1,0.2,0,0.6,0.5,0.5,1.7,1,24.5,3.7,22,4.3,75.5,3.7,76.7,3.5,57585,5330,NA,NA,43.3,0.8,40845,6518,22404,1915,29477,5655,0.3,0.5,0.1,0.2,0,0.2,23519,2152,2.52,0.11,13337,NA,NA,NA,NA,NA,NA,NA,0.7,0.5,5.6,2.8,10.3,2.6,0,1.3,0.6,1,1.8,3,6,1.6,83.2,0.5,80.4,0.2
Alabama,Cleburne County,1029,77.3,0.7,19.4,0.6,3,0.7,5.7,0.2,0,0.1,3.21,0.15,15.4,2.2,2.7,0.7,2.5,NA,64.3,3.2,60.5,3.5,69.2,3.2,5680,199,0,0.6,0.2,0.4,0.1,0.2,0.6,0.6,2.7,0.7,23.9,3.1,26.9,3.3,76.1,3.1,79,2.5,57990,4532,NA,NA,43.1,0.8,44741,3847,23433,2518,35686,2366,0.1,0.1,1.3,0.8,0,0.2,23142,1648,2.6,0.09,14916,NA,NA,NA,NA,NA,NA,NA,2,0.7,5.4,2.3,12.3,1.8,0.9,1,5.3,2.8,6.5,5.4,6.1,1.1,93.9,0.7,92.7,0.2
Alabama,Coffee County,1031,76.3,NA,16.5,0.1,1.7,0.2,6.2,0.1,1.4,0.3,3.12,0.07,22.8,1.7,16.9,0.5,7.3,NA,80,1.7,69.7,1.9,76.4,1.5,19924,343,1.5,0.5,1.2,0.5,0.2,0.2,1.4,0.5,5.2,1,34.3,2,12.6,0.9,65.7,2,85.9,1.4,70079,2167,NA,NA,39.3,0.3,55637,1849,28172,1473,36221,1730,1.2,0.2,1.3,0.7,0,0.1,27806,866,2.56,0.04,51662,NA,15.1,1.4,8.3,1.6,24.3,3.3,3.3,0.7,5.6,1,9.8,0.9,0.1,0.1,3.7,1.7,5.4,2.9,16.4,1.1,75.7,0.7,70.1,0.1
Alabama,Colbert County,1033,78.9,0.2,19.4,0.1,2.2,0.3,5.7,0.1,0.5,0.1,3.06,0.09,18.1,1.4,16.2,0.4,2.8,NA,70.1,2,62.9,1.8,71.7,1.8,21880,440,0.5,0.3,0.6,0.4,0.1,0.1,0.8,0.3,2.1,0.5,27.8,2,8.3,1.2,72.2,2,85.2,1.5,60904,2416,23.4,1,42.4,0.4,48065,2746,25308,874,35095,1948,0.6,0.3,1.6,0.4,0.1,0.1,25536,967,2.48,0.05,54771,NA,15.5,1.7,10.4,2,21.1,3.9,2,0.5,4.1,0.7,7.2,0.9,0.1,0.1,2.3,0.9,0.9,0.9,8.9,0.8,79,0.4,78.2,0.1
Alabama,Conecuh County,1035,79,NA,22.2,NA,2.5,0.8,5.6,NA,0.5,0.4,3.41,0.27,12.8,2.7,47.8,1.4,0.7,1,52.7,5.3,43.4,5.2,51.4,5.3,4553,274,0.3,0.4,0,0.7,0,0.7,0.2,0.3,0.4,0.7,23.9,5.3,27.4,5.3,76.1,5.3,84.3,2.6,47286,3869,NA,NA,44.8,0.3,37837,3835,21085,1534,27909,4298,0.2,0.3,0,0.1,0,0.3,19769,1499,2.71,0.16,12394,NA,NA,NA,NA,NA,NA,NA,0.8,0.8,9.7,3.9,12.7,2.6,0,1.2,5.4,3.6,5.9,8.5,5.9,1.6,50.7,1,50,0.1
Alabama,Coosa County,1037,83.3,NA,22.6,NA,2.3,0.9,3.4,0.7,0,0.3,3.26,0.23,12.8,2.8,33.6,0.9,1,0.9,69.5,4.7,55.3,5.4,67.8,4.7,4032,248,0,0.8,0.2,0.4,0,0.8,0,0.1,0.5,0.4,20.8,3.8,31,5.2,79.2,3.8,80,3.2,56017,6789,NA,NA,48.4,1,38990,4339,20110,2130,30391,3272,0.1,0.1,0.5,0.8,0,0.3,23694,2265,2.57,0.15,10757,NA,NA,NA,NA,NA,NA,NA,0,0.3,2.3,1.5,8,2.5,1.1,1.8,5,4.3,5.4,5.6,10.4,1.6,65.8,1.2,64.8,0.8
Alabama,Covington County,1039,78.1,0.1,20.8,0.2,2.2,0.4,5.8,0.1,0.5,0.2,3,0.09,15.3,1.3,13.5,0.3,1.7,NA,70.7,2.1,57.2,2.1,67.6,2,14852,376,0.6,0.3,0.1,0.2,0.1,0.1,0.1,0.1,1.3,0.4,25.5,2.2,20.4,1.9,74.5,2.2,83.4,1.6,57075,2177,NA,NA,43.3,0.5,42189,2667,24623,1099,32676,1333,0.1,0.1,0.2,0.2,0.1,0.1,23687,832,2.46,0.06,37200,NA,18.6,1.9,12.2,1.9,28.7,4.4,1.1,0.3,7.8,1.7,11.1,1.4,0.1,0.2,6,2.6,5.9,4.3,10,0.9,84.6,0.3,83.3,0.1
Alabama,Crenshaw County,1041,77.6,0.2,18.8,0.3,1.9,0.7,5.7,0.1,1.3,0.1,3.45,0.17,17.4,2.3,23.3,1.4,0.8,0.5,65.1,2.9,57.9,3.3,63.9,3.5,4943,207,1.4,0.4,1.1,0.9,0,0.7,0.3,0.3,1.1,0.7,24.5,2.9,25.9,3,75.5,2.9,79.2,2.7,61468,6082,29.9,2.3,41.7,0.8,43163,2743,21337,1473,32092,1505,0.7,0.3,0.2,0.2,0.1,0.1,24563,2754,2.77,0.11,13844,NA,NA,NA,NA,NA,NA,NA,3.1,1.4,3.4,1.5,8.7,1.5,0,1.3,3.1,2.3,2.4,2.3,6.6,1,71.4,0.2,71,0.2
Alabama,Cullman County,1043,77.4,0.1,18.2,0.1,1.5,0.3,6.2,0.1,0.4,0.2,3.18,0.07,13.9,1.2,1.3,0.2,4.4,NA,74.1,1.6,62.3,1.6,71.5,1.5,31034,570,0.4,0.3,0.6,0.3,0.1,0.1,0.5,0.2,3,0.5,25.2,1.8,19.8,1.5,74.8,1.8,81.6,1.2,59909,2143,NA,NA,40.8,0.3,44918,1921,24163,672,33157,1516,0.3,0.2,0.9,0.5,0,0.1,23468,761,2.63,0.05,82853,NA,14.9,1.3,9.7,1.5,19.5,3,2,0.4,4.3,0.9,11.1,1,0.4,0.7,2.5,1.2,1.4,1.5,8,0.8,95.1,0.5,91.9,0.1
Alabama,Dale County,1045,76.9,0.1,16.4,0.2,1.6,0.3,6.6,0.1,1.4,0.4,3.14,0.09,18.1,1.6,20.3,0.5,6.5,NA,77,1.8,67.6,2.1,76.1,1.9,18806,470,1.4,0.5,1.5,0.6,0.1,0.1,1.6,0.5,4.8,0.7,39.9,1.9,16.4,1.4,60.1,1.9,86.1,1.4,61001,2131,NA,NA,37.3,0.5,47214,2845,24767,1176,32488,1552,0.8,0.3,1.9,0.7,0,0.1,24645,1038,2.55,0.06,49277,NA,17.6,2.2,8.5,1.6,27.7,4.9,3.3,0.6,7,1.3,11.6,1.4,0.1,0.2,3.8,1.6,4.5,2.9,16.4,0.9,72.4,0.7,68.6,0.3
Alabama,Dallas County,1047,75.9,0.2,17.4,0.1,1.6,0.4,6.1,0.1,0.6,0.1,3.06,0.11,14.7,1.5,70.7,0.3,1.1,NA,69.7,2.6,54.8,2.5,64.4,2.7,15910,419,0.3,0.1,0.1,0.2,0.2,0.2,0.6,0.5,0.6,0.3,40.7,2.5,19.7,2,59.3,2.5,81.8,1.8,47753,1825,23.8,1.5,39.6,0.4,33845,1728,20682,1186,28919,2244,0.1,0.1,0.1,0.1,0.1,0.1,19612,805,2.42,0.06,39149,NA,29.1,2.9,16.7,2.7,46.1,6.3,0.6,0.2,11.5,1.8,11.1,1.5,0.8,1.2,2.1,1.2,0.5,0.8,6.1,0.9,27.9,0.4,27.3,0.1
Alabama,DeKalb County,1049,75.4,0.1,16.7,0.2,1.4,0.2,6,0.1,0.1,0.1,3.26,0.1,13,1.1,1.5,0.2,14.6,NA,72,2,60.5,2.1,71.7,1.9,26040,620,0.4,0.3,2.2,0.9,0,0.1,0.2,0.2,9.1,0.7,28.5,2.2,23.1,1.6,71.5,2.2,74.8,1.6,56390,2716,24,0.8,39.5,0.4,40440,1676,21951,715,31013,941,1.2,0.3,8.6,1,0.8,0.6,21907,932,2.7,0.06,71310,NA,21.1,2.1,11.9,2.3,31.3,3.8,2.4,0.5,3.7,0.9,13.7,1.1,1.3,1.1,2.7,1,1.3,1.3,6.3,0.6,85.4,1,80.4,0.1
Alabama,Elmore County,1051,77.5,NA,14.9,0.2,1.4,0.3,5.8,0.1,0.5,0.1,3.09,0.07,25.1,1.5,21.5,0.3,3,NA,81.5,1.6,71.5,2.2,79.4,1.7,29708,497,0.8,0.4,1.2,0.5,0.2,0.1,1,0.5,2.2,0.5,26.7,2,15.2,1.5,73.3,2,86.6,1.2,78370,3097,NA,NA,38.7,0.3,60891,2952,29988,1195,40519,1659,0.3,0.1,0.7,0.4,0,0.1,29052,1077,2.58,0.04,81144,NA,11.5,1.7,6.3,1.6,15.2,3.7,1.7,0.3,4,0.9,7.4,0.8,0,0.3,3.1,1.2,2.3,1.5,10.6,0.9,75.3,0.5,73.2,0.3
Alabama,Escambia County,1053,77.6,NA,17.7,0.2,1.8,0.4,5.7,0.1,0.3,0.4,3.47,0.13,12.5,1.6,32.1,0.5,2.3,NA,61,2.8,46.3,3,59.7,2.8,13089,449,0.2,0.3,0.3,0.3,0.1,0.1,0.1,0.1,1.1,0.6,31.7,2.4,16.3,2.4,68.3,2.4,81.1,2,50242,2940,NA,NA,40,0.5,36275,2972,22986,1341,31524,1578,4,0.2,0.3,0.2,0.1,0.2,19028,918,2.61,0.08,37057,NA,22.2,2.6,10.3,2.7,31.1,5.8,1,0.4,11.5,2.3,14.2,1.8,0.1,0.2,7.2,3.1,7.3,5.4,7.4,1,62.2,0.3,60.2,0.1
Alabama,Etowah County,1055,78.4,0.1,18.7,0.1,1.9,0.2,5.8,0.1,0.7,0.1,3.23,0.07,17.8,1.1,15.9,0.4,3.9,NA,76.5,1.4,63.4,1.6,73.1,1.3,38942,643,0.6,0.2,0.8,0.3,0.2,0.2,0.8,0.3,2.3,0.3,27.4,1.5,10.6,1,72.6,1.5,84.6,1.1,60379,2348,NA,NA,41.4,0.3,44637,1878,23677,661,31424,692,0.6,0.2,1.1,0.4,0,0.1,24883,1036,2.6,0.04,102748,NA,17.4,1.2,10.7,1.7,28.9,2.7,1.8,0.4,5.4,0.8,10.6,0.7,0.3,0.4,4,1.1,3.9,1.9,8.4,0.6,79.8,0.4,77.9,0.1
Alabama,Fayette County,1057,78.9,0.5,20.8,0.3,2.3,0.6,5.3,0.1,0.5,0.1,2.85,0.12,12.4,2.5,11.8,1.1,1.8,NA,70.3,3.3,55.9,3.6,68,3.3,6802,239,0.6,0.6,0.1,0.2,0,0.5,0.5,0.5,0.7,0.5,22.7,3.1,20.6,2.5,77.3,3.1,82.6,2.8,53897,5071,29.8,1.8,43.7,0.6,39856,3370,21529,1435,32538,2523,0,0.2,0,0.2,0,0.1,22483,2072,2.38,0.08,16494,NA,NA,NA,NA,NA,NA,NA,2.4,1,6.6,2.1,7.6,1.5,0,1,2.4,1.6,2.6,3.6,8.4,1.2,85.3,0.7,84.5,0.2
Alabama,Franklin County,1059,74.9,0.3,16.9,0.4,2,0.5,7.1,0.4,0.4,0.1,3.44,0.15,14,1.8,4.4,0.4,17.2,NA,61.9,3.7,53,3.1,63.4,2.9,11048,339,0.2,0.1,3.9,1.2,0.6,0.5,0.3,0.3,10.3,1.7,29.2,2.7,13.6,2.1,70.8,2.7,77.2,2.2,56907,3007,NA,NA,38.6,2.1,43514,2096,24210,1373,31074,1370,1.3,1.1,9.6,2.2,0,0.1,21641,1058,2.83,0.09,31466,NA,19.4,3,13.1,3.8,36,7.2,1.3,0.5,3.9,1.4,11.7,2.4,0.4,1.1,9.5,4.9,21.9,12.9,5.6,1,83,2.2,76.8,0.1
Alabama,Geneva County,1061,78,0.1,20,0.3,2.2,0.5,5.5,0.1,0.4,0.1,3.11,0.12,12.5,1.9,9.6,0.5,4,NA,67.1,2.9,60.8,3.1,67.3,2.8,10383,331,0.4,0.2,0.3,0.3,0.1,0.2,0.1,0.1,3,1,28,2.7,25.5,2.5,72,2.7,80.3,2.2,53077,3162,27.8,1.8,43.2,0.6,41732,2831,22376,1383,32113,2600,0.9,0.3,0.8,0.5,0,0.1,21711,1230,2.52,0.08,26417,NA,22,2.7,9.8,2.7,32.8,5.4,1.6,0.6,5.2,1.6,12.6,1.6,0,0.6,1.7,1.2,0.5,0.8,11.6,1.3,86.6,0.6,83.9,0.1
Alabama,Greene County,1063,77.4,0.2,21.3,NA,1.9,1.1,6.9,1,0,0.4,4.34,0.7,10.1,3.2,79.5,2.7,1.7,2.3,51.3,7.6,42,6.6,51,7.2,2951,246,0,1.1,0.2,0.7,0.3,0.4,0,1.1,0.4,0.8,32.9,6.3,31.3,4.6,67.1,6.3,79.2,4.2,36431,4141,NA,NA,40.9,3,24145,6721,16949,2581,26232,2227,0.4,0.7,0.1,0.3,0,0.4,14884,1570,2.8,0.23,8324,NA,NA,NA,NA,NA,NA,NA,2.7,2.6,12.3,5.4,12.8,3.1,0,1.8,2.2,3.2,5.5,8.8,7.1,2.7,17.3,0.1,17.2,0.4
Alabama,Hale County,1065,76.7,NA,18.8,NA,2.1,0.7,6.6,NA,0.2,0.3,3.36,0.2,14.2,1.8,59.4,0.6,0,0.1,61.5,3.4,50.8,3.5,64.2,3.3,5650,231,0.1,0.2,0,0.6,0,0.6,0.5,0.5,0.9,0.5,24.2,3.5,35.4,3.4,75.8,3.5,84,2.6,51992,4044,NA,NA,40.5,1.8,34046,5341,19167,1873,29019,1983,0.2,0.3,0.2,0.4,0,0.2,21191,1442,2.59,0.1,14809,NA,NA,NA,NA,NA,NA,NA,0.4,0.5,10.7,3.8,9.5,1.9,0,1.2,2.8,1.7,0,2.7,7.1,1.4,39.5,0.4,39.5,0.4
Alabama,Henry County,1067,79,0.2,22.1,0.3,2.5,0.6,5.2,0.3,0.4,0.2,3.13,0.15,17.1,2.4,26.6,0.3,2.6,NA,75.1,2.8,59.9,3.5,74.4,3,6630,236,0.3,0.4,0.2,0.2,0.2,0.2,0.4,0.3,1.4,0.7,16.7,2.5,23.4,2.7,83.3,2.5,79.4,2.3,62696,3727,NA,NA,44.4,0.4,50017,3746,23973,1339,31793,2255,0.2,0.2,0.8,0.7,0.1,0.2,25276,1503,2.53,0.09,17133,NA,NA,NA,NA,NA,NA,NA,1.2,0.4,5.2,2,9.8,1.7,0,0.9,1.1,0.8,1.4,1.5,9.2,1.5,70.7,0.7,69.2,0.2
Alabama,Houston County,1069,76.7,0.1,17.2,0.1,1.8,0.2,6.1,0.1,0.9,0.1,3.3,0.05,21.7,0.7,26.9,0.2,3.3,NA,74.9,0.8,65.9,0.9,69.6,0.9,39311,452,0.8,0.1,0.5,0.1,0.2,0.1,1,0.2,2.3,0.2,34.3,0.8,11.8,0.8,65.7,0.8,86,0.6,67855,1370,NA,NA,40.1,0.2,47580,1033,25191,392,32910,1014,0.3,0.1,0.6,0.2,0.1,0.1,27097,522,2.64,0.03,104702,NA,18.2,0.7,10,0.9,27.5,1.7,2.2,0.2,6.2,0.5,10.5,0.5,0.5,0.3,2.2,0.5,1.6,0.7,9.8,0.4,69.1,0.2,66.5,0.2
