date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera
2015-01-22,shot and Tasered,knife,17,F,W,Longview,TX,True,other,Not fleeing,False
2015-01-23,shot,,29,M,B,Fort Lauderdale,FL,False,other,Not fleeing,False
2015-01-23,shot,knife,56,M,H,Levelland,TX,False,other,Not fleeing,False
2015-01-23,shot,gun,61,M,W,Austin,TX,True,attack,Not fleeing,False
2015-01-24,shot,gun,45,M,W,Rexburg,ID,False,attack,Not fleeing,False
2015-01-24,shot,knife,26,M,B,Baltimore,MD,True,other,Not fleeing,False
2015-01-24,shot,gun,40,M,W,Fort Worth,TX,False,attack,Not fleeing,False
2015-01-25,shot,gun,26,M,H,Pueblo,CO,False,attack,Car,False
2015-01-25,shot,gun,59,M,,Winslow,NJ,False,attack,Not fleeing,False
2015-01-26,shot,vehicle,17,F,H,Denver,CO,False,other,Not fleeing,False
2015-01-26,shot,gun,68,M,W,New Hope,MN,True,attack,Not fleeing,False
2015-01-26,shot,unarmed,24,M,H,Tahoka,TX,False,other,Car,False
2015-01-26,shot,knife,34,M,H,Wasco,CA,True,other,Not fleeing,False
2015-01-27,shot,knife,39,F,W,Omaha,NE,True,attack,Not fleeing,False
2015-01-27,shot,,26,M,N,Phoenix,AZ,False,other,Not fleeing,False
2015-01-27,shot,gun,29,M,W,Morenci,AZ,False,attack,Not fleeing,False
2015-01-27,shot,gun,33,M,B,Columbus,OH,False,attack,Not fleeing,False
2015-01-28,shot,gun,45,M,W,Sunset,TX,False,attack,Not fleeing,False
2015-01-28,shot,gun,26,M,W,Rosenberg,TX,False,attack,Not fleeing,False
2015-01-28,shot and Tasered,hammer,35,M,A,Stockton,CA,True,attack,Not fleeing,False
2015-01-29,shot,gun,31,M,W,Wyoming,MI,True,attack,Not fleeing,False
2015-01-29,shot,unarmed,42,M,W,Stillwater,OK,False,other,Foot,False
2015-01-30,shot,gun,48,M,W,Billings,MT,False,attack,Foot,False
2015-01-31,shot,gun,31,M,H,Houston,TX,False,attack,Not fleeing,False
2015-01-31,shot and Tasered,knife,54,M,B,Randallstown,MD,True,other,Not fleeing,False
2015-02-02,shot,gun,42,M,W,Apple Valley,CA,True,attack,Not fleeing,False
2015-02-02,shot,gun,17,M,W,Bay City,MI,False,attack,Not fleeing,False
2015-02-02,shot and Tasered,unarmed,59,M,W,Hummelstown,PA,False,other,Foot,False
2015-02-03,shot,gun,23,M,B,St. Louis,MO,False,attack,Foot,False
2015-02-03,shot,gun,38,F,B,Emeryville,CA,False,attack,Car,False
2015-02-03,shot,knife,29,M,B,Antioch,CA,True,other,Not fleeing,False
2015-02-03,shot,gun,45,M,W,Douglas,GA,True,attack,Not fleeing,False
2015-02-04,shot,unarmed,28,M,B,Tallahassee,FL,False,attack,Not fleeing,False
2015-02-04,shot,gun,37,M,H,Orlando,FL,False,attack,Not fleeing,False
2015-02-04,shot,gun,28,M,H,Tempe,AZ,False,attack,Car,False
2015-02-04,shot,unarmed,28,M,H,Tempe,AZ,False,other,Not fleeing,False
2015-02-04,shot,gun,51,M,B,Lorena,TX,False,attack,Car,False
2015-02-04,shot,knife,36,M,B,Memphis,TN,False,other,Not fleeing,False
2015-02-05,shot,toy weapon,59,M,W,Chino,CA,False,other,Car,False
2015-02-06,shot,gun,25,M,B,Oklahoma City,OK,False,attack,Not fleeing,False
2015-02-07,shot,toy weapon,26,M,W,Calimesa,CA,False,attack,Not fleeing,False
2015-02-07,shot,gun,74,M,B,Gastonia,NC,False,attack,Not fleeing,False
2015-02-08,shot,gun,33,M,W,Anchorage,AK,False,attack,Car,False
2015-02-08,shot,gun,27,M,W,Austin,TX,False,attack,Not fleeing,False
2015-02-08,shot,gun,57,M,W,New City,NY,True,attack,Not fleeing,False
2015-02-08,shot,gun,46,M,W,Orange County,FL,False,attack,Not fleeing,False
2015-02-08,shot,gun,41,M,W,Nocona,TX,False,attack,Not fleeing,False
2015-02-09,shot,gun,61,M,W,Smyrna,ME,True,attack,Not fleeing,False
2015-02-09,shot,gun,45,M,B,Dallas,TX,False,attack,Not fleeing,False
2015-02-10,shot,gun,49,M,B,Whitehaven,TN,False,attack,Not fleeing,False
2015-02-10,shot,gun,45,M,W,New Castle,CO,True,attack,Car,False
2015-02-10,shot and Tasered,unarmed,35,M,H,Pasco,WA,True,other,Foot,False
2015-02-11,shot,knife,23,M,B,San Jose,CA,True,other,Not fleeing,False
2015-02-11,shot,toy weapon,46,M,W,Dadeville,AL,True,attack,Foot,True
2015-02-13,shot,,23,M,W,San Bernardino,CA,False,attack,Car,False
2015-02-13,shot,gun,21,M,H,Kansas City,KS,False,attack,Car,False
2015-02-13,shot,unarmed,35,M,H,Reading,PA,False,other,Not fleeing,False
2015-02-13,shot,gun,27,M,W,McLemoresville,TN,False,attack,Not fleeing,False
2015-02-13,shot,knife,37,M,H,San Manuel,AZ,True,other,Not fleeing,False
2015-02-14,shot,gun,16,M,W,Essex,MD,True,attack,Car,False
2015-02-14,shot,gun,51,M,W,Laredo,TX,False,attack,Not fleeing,False
2015-02-15,shot,gun,34,M,W,Iuka,MS,False,attack,Foot,False
2015-02-15,shot,hatchet,34,M,W,Colton,OR,True,other,Not fleeing,False
2015-02-15,shot and Tasered,unarmed,25,M,B,Miami Gardens,FL,True,other,Not fleeing,False
2015-02-16,shot,gun,56,M,W,Marana,AZ,False,attack,Not fleeing,False
2015-02-16,shot,gun,26,M,W,Boise,ID,False,attack,Not fleeing,False
2015-02-16,shot,toy weapon,24,M,W,Provo,UT,True,attack,Not fleeing,False
2015-02-17,shot,gun,43,F,W,Gaston County,NC,False,attack,Not fleeing,False
2015-02-17,shot,unarmed,31,M,W,Springfield,MO,False,other,Foot,False
2015-02-17,shot,gun,32,M,W,Eaton Rapids Township,MI,False,attack,Not fleeing,False
2015-02-17,shot,toy weapon,30,M,W,Tewksbury,MA,False,attack,Foot,False
2015-02-17,shot,,50,M,H,Del Rio,TX,False,other,Not fleeing,False
2015-02-18,shot,knife,20,F,B,Charlotte,NC,True,other,Not fleeing,False
2015-02-20,shot,unarmed,31,M,H,Euless,TX,False,other,Not fleeing,False
2015-02-20,shot,gun,38,M,B,Homewood,AL,False,attack,Not fleeing,False
2015-02-20,shot,gun,77,M,B,Birmingham,AL,True,attack,Not fleeing,False
2015-02-20,shot,gun,NA,M,H,Houston,TX,False,attack,Car,False
2015-02-21,shot,gun,41,M,W,Ruidoso,NM,False,attack,Not fleeing,False
2015-02-21,shot,knife,51,M,W,Indianapolis,IN,False,attack,Not fleeing,False
2015-02-22,shot,gun,50,M,W,Palm Bay,FL,False,attack,Not fleeing,False
2015-02-23,shot,gun,47,M,W,Denham Springs,LA,True,attack,Not fleeing,False
2015-02-23,shot,knife,37,M,W,Powder Springs,GA,False,other,Not fleeing,False
2015-02-23,shot,gun,41,M,W,Clarkesville,GA,False,attack,Foot,False
2015-02-23,shot,gun,16,M,B,Millbrook,AL,False,attack,Not fleeing,False
2015-02-23,shot and Tasered,knife,42,M,W,Allentown,PA,False,attack,Car,False
2015-02-23,shot and Tasered,unarmed,39,M,W,Omaha,NE,False,other,Not fleeing,False
2015-02-24,shot and Tasered,knife,30,M,W,Green Bay,WI,True,attack,Not fleeing,False
2015-02-25,shot,,27,M,B,Oklahoma City,OK,False,other,Car,False
2015-02-25,shot,gun,43,M,W,Las Vegas,NV,True,attack,Not fleeing,False
2015-02-26,shot,gun,42,M,H,Lakeland,FL,False,attack,Foot,False
2015-02-26,shot,knife,21,M,H,San Francisco,CA,False,other,Not fleeing,False
2015-02-26,shot,unarmed,49,M,W,Gulfport,MS,False,other,Not fleeing,False
2015-02-26,shot,gun,34,F,W,Sylvester,GA,False,attack,Car,False
2015-02-26,shot and Tasered,unarmed,31,M,W,Terre Haute,IN,False,other,Not fleeing,False
2015-02-27,shot,unarmed,27,M,H,Santa Ana,CA,False,other,Not fleeing,False
2015-02-28,shot,gun,24,M,W,Pelzer,SC,False,attack,Not fleeing,False
2015-02-28,shot,unarmed,34,M,B,St Louis,MO,False,other,Car,False
2015-02-28,shot,knife,28,F,H,Tucson,AZ,False,other,Not fleeing,False
2015-02-28,shot,gun,28,M,B,Columbia,MO,False,attack,Car,False
2015-02-28,shot,gun,40,M,B,Tarboro,NC,True,attack,Car,False
2015-02-28,shot,gun,37,F,W,La Paz County,AZ,False,attack,Car,False
2015-02-28,shot and Tasered,unarmed,17,M,W,Roxand Township,MI,False,attack,Not fleeing,True
2015-03-01,shot,gun,35,M,A,Houston,TX,False,attack,Not fleeing,False
2015-03-01,shot,gun,49,M,W,Barton,MS,False,attack,Not fleeing,False
2015-03-01,shot and Tasered,unarmed,43,M,B,Los Angeles,CA,True,attack,Not fleeing,True
2015-03-02,shot,gun,20,M,B,Joilet,IL,False,other,Foot,False
2015-03-03,shot,gun,25,M,B,Salisbury,MD,False,attack,Not fleeing,False
2015-03-03,shot,knife,25,M,W,Tempe,AZ,False,attack,Not fleeing,False
2015-03-04,shot,unarmed,26,M,W,Deltona,FL,False,other,Not fleeing,False
2015-03-04,shot,gun,28,M,A,Stockton,CA,False,attack,Not fleeing,False
2015-03-05,shot,knife,45,M,B,Milwaukee,WI,True,other,Not fleeing,False
2015-03-05,shot,unarmed,36,M,H,Burbank,CA,False,other,Car,False
2015-03-05,shot,gun,34,M,W,Lincoln,NE,False,attack,Not fleeing,False
2015-03-06,shot,unarmed,19,M,B,Madison,WI,False,attack,Foot,False
2015-03-06,shot,unarmed,37,M,B,Aurora,CO,False,other,Foot,False
2015-03-06,shot,,48,M,B,Putnam Hall,FL,False,other,Not fleeing,False
2015-03-07,shot,gun,29,M,W,Phoenix,AZ,False,attack,Not fleeing,False
2015-03-08,shot,knife,43,F,B,Anaheim,CA,True,other,Not fleeing,True
2015-03-08,shot,gun,40,M,H,Oklahoma City,OK,False,attack,Not fleeing,False
2015-03-08,shot,,35,M,W,Claymont,DE,False,attack,Car,False
2015-03-09,shot,unarmed,27,M,B,Atlanta,GA,True,other,Not fleeing,False
2015-03-09,shot,gun,58,M,W,Brevard,NC,False,attack,Not fleeing,False
2015-03-09,shot,gun,46,M,W,Dinosaur,CO,False,attack,Not fleeing,False
2015-03-09,shot,gun,30,M,B,Cocoa,FL,False,attack,Not fleeing,False
2015-03-10,shot,gun,64,M,B,Cleveland,OH,False,attack,Not fleeing,True
2015-03-10,shot,gun,31,M,B,Baton Rouge,LA,False,attack,Not fleeing,False
2015-03-10,shot,knife,23,M,W,Port Wentworth,GA,False,attack,Not fleeing,True
2015-03-10,shot,sword,37,M,H,Ontario,CA,True,other,Car,False
2015-03-11,shot,,37,M,B,Elkton,MD,False,other,Not fleeing,False
2015-03-11,shot,gun,31,M,W,Memphis,TN,True,attack,Not fleeing,False
2015-03-11,shot,gun,39,M,H,Santa Ana,CA,False,attack,Not fleeing,False
2015-03-11,shot,toy weapon,31,M,W,Kingman,AZ,True,attack,Not fleeing,False
2015-03-11,shot,gun,54,M,W,Bay Minette,AL,False,attack,Not fleeing,False
2015-03-11,shot,gun,53,M,W,Hoover,AL,True,attack,Not fleeing,False
2015-03-11,shot,,25,M,H,Los Angeles,CA,False,other,Not fleeing,False
2015-03-12,shot,unarmed,35,M,B,Washington,DC,True,other,Not fleeing,False
2015-03-13,shot,gun,41,M,H,Napa,CA,False,other,Other,False
2015-03-13,shot,gun,59,M,W,Kansas City,MO,False,attack,Not fleeing,False
2015-03-13,shot,knife,36,M,W,Fontana,CA,False,attack,Not fleeing,False
2015-03-13,shot,unarmed,32,M,H,Walnut Creek,CA,False,other,Foot,False
2015-03-14,shot,knife,53,M,W,Follansbee,WV,False,other,Not fleeing,False
2015-03-14,shot,gun,26,M,W,Kenosha,WI,False,attack,Car,False
2015-03-14,shot,gun,29,M,H,San Antonio,TX,True,attack,Not fleeing,False
2015-03-15,shot,machete,27,M,W,Ruth,MS,False,other,Not fleeing,False
2015-03-16,shot,gun,28,M,W,St. Paul,MN,True,attack,Not fleeing,False
2015-03-16,shot,gun,52,M,W,Gastonia,NC,True,attack,Not fleeing,False
2015-03-17,shot,gun,49,M,W,Medford,OR,True,attack,Not fleeing,False
2015-03-17,shot,gun,24,M,W,Dublin,NC,False,attack,Foot,False
2015-03-17,shot,vehicle,24,F,W,San Francisco,CA,True,other,Not fleeing,False
2015-03-17,shot,gun,20,M,W,Onalaska,TX,True,attack,Not fleeing,False
2015-03-17,shot,unarmed,22,M,H,Sacramento,CA,False,other,Car,False
2015-03-18,shot,gun,49,F,W,Glendale,AZ,False,attack,Not fleeing,False
2015-03-18,shot,gun,64,M,W,Tallahassee,FL,False,attack,Not fleeing,False
2015-03-18,shot,knife,47,M,W,Bakersfield,CA,False,other,Not fleeing,False
2015-03-19,shot,box cutter,39,M,W,Lawrence County,AL,True,other,Not fleeing,True
2015-03-19,shot,unarmed,18,M,B,Cleveland,OH,False,attack,Not fleeing,False
2015-03-19,shot,gun,31,M,W,Middleton,ID,False,attack,Not fleeing,True
2015-03-19,shot,gun,16,M,B,Jacksonville,FL,False,attack,Car,False
2015-03-19,shot,unarmed,20,M,W,Sumas,WA,True,attack,Not fleeing,False
2015-03-19,shot,gun,36,M,W,Bakersfield,CA,False,attack,Not fleeing,False
2015-03-20,shot,machete,63,M,B,New Orleans,LA,True,attack,Not fleeing,False
2015-03-20,shot,gun,34,M,W,Coal County,OK,False,attack,Not fleeing,False
2015-03-20,shot,gun,24,M,N,Red Valley,AZ,False,attack,Car,False
2015-03-21,shot,gun,21,M,W,Cottonwood,AZ,False,attack,Not fleeing,False
2015-03-21,shot,gun,44,M,W,Clarendon,NY,False,attack,Car,False
2015-03-21,shot,gun,60,M,W,Harmony,IN,True,attack,Not fleeing,False
2015-03-21,shot,gun,42,M,W,Columbus,OH,False,attack,Not fleeing,False
2015-03-22,shot,knife,37,M,W,Vallejo,CA,True,other,Not fleeing,False
2015-03-22,shot and Tasered,knife,36,M,W,Portland,OR,True,other,Foot,False
2015-03-22,shot and Tasered,undetermined,21,M,B,Islip,NY,False,attack,Car,False
2015-03-23,shot,gun,24,M,B,Santa Clara,CA,False,attack,Not fleeing,False
2015-03-24,shot,gun,29,M,B,Portsmouth,VA,True,attack,Car,False
2015-03-24,shot,gun,57,M,W,San Jose,CA,True,attack,Not fleeing,False
2015-03-24,shot,gun,38,M,W,Fond du Lac,WI,False,attack,Not fleeing,False
2015-03-25,shot,undetermined,23,M,B,Smyrna,GA,False,other,Car,True
2015-03-25,shot,gun,27,M,B,Johnsonville,SC,False,attack,Foot,False
2015-03-25,shot,gun,28,M,H,South Los Angeles,CA,False,attack,Foot,False
2015-03-25,shot and Tasered,gun,63,M,W,Glendale,AZ,True,other,Not fleeing,False
2015-03-26,shot,gun,53,F,W,Gardner,KS,False,attack,Not fleeing,False
2015-03-26,shot,knife,35,M,H,Wilmington,CA,True,other,Not fleeing,False
2015-03-27,shot,knife,26,F,B,Oxnard,CA,False,other,Not fleeing,False
2015-03-27,shot,gun,42,M,W,Fort Ashby,WV,False,attack,Car,False
2015-03-27,shot,gun,41,M,B,Boston,MA,False,attack,Not fleeing,False
2015-03-27,shot,gun,56,M,W,Encinitas,CA,True,attack,Not fleeing,False
2015-03-27,shot,knife,39,M,B,Fort Pierce,FL,False,other,Not fleeing,False
2015-03-27,shot,toy weapon,23,M,H,Bakersfield,CA,False,attack,Car,False
2015-03-27,shot,gun,40,M,W,Webster,MA,False,attack,Foot,False
2015-03-29,shot,gun,29,M,B,Elizabethtown,KY,False,attack,Not fleeing,False
2015-03-29,shot,,26,M,W,Jasper,OH,False,attack,Car,False
2015-03-30,shot,gun,54,M,,Boulder City,NV,False,attack,Not fleeing,False
2015-03-30,shot,gun,49,M,W,Eugene,OR,True,attack,Not fleeing,False
2015-03-31,shot,gun,36,M,W,Carollwood,FL,False,attack,Not fleeing,False
2015-03-31,shot,toy weapon,21,M,H,Baytown,TX,False,attack,Not fleeing,False
2015-03-31,shot,vehicle,27,F,B,Fort Meade,MD,False,other,Car,False
2015-04-01,shot,gun,37,M,B,Hawthorne,CA,False,attack,Not fleeing,False
2015-04-01,shot,knife,36,M,W,Hamilton,NJ,False,attack,Not fleeing,False
2015-04-02,shot,gun,32,M,B,Rock Island,IL,False,attack,Foot,False
2015-04-02,shot,unarmed,44,M,B,Tulsa,OK,False,other,Not fleeing,False
2015-04-02,shot,gun,27,M,W,Pineville,LA,True,attack,Not fleeing,False
2015-04-02,shot and Tasered,gun,63,M,W,Metropolis,IL,True,attack,Not fleeing,False
2015-04-03,shot,knife,38,M,W,Winchester,VA,False,other,Not fleeing,True
2015-04-04,shot,gun,17,M,B,Zion,IL,False,attack,Foot,False
2015-04-04,shot,gun,31,M,B,Orange,CA,False,attack,Not fleeing,True
2015-04-04,shot,gun,34,M,W,Edgewood,NM,True,attack,Car,False
2015-04-04,shot and Tasered,unarmed,50,M,B,North Charleston,SC,False,other,Foot,False
2015-04-05,shot,knife,51,M,W,Phoenix,AZ,True,other,Not fleeing,False
2015-04-05,shot,gun,56,M,W,Tehachapi,CA,False,attack,Not fleeing,False
2015-04-06,shot,gun,23,M,W,Indianapolis,IN,True,attack,Not fleeing,False
2015-04-06,shot,gun,25,M,B,Harvey,LA,False,attack,Foot,False
2015-04-06,shot,gun,31,M,W,Jefferson County,ID,False,attack,Car,False
2015-04-07,shot,gun,32,M,W,Pottawatomie County,OK,False,attack,Car,False
2015-04-08,shot,gun,60,M,W,San Antonio,TX,False,attack,Car,False
2015-04-08,shot,,42,M,B,Valdosta,GA,False,attack,Car,False
2015-04-08,shot,gun,39,M,H,Los Angeles,CA,False,attack,Foot,False
2015-04-08,shot,knife,28,M,A,Sunnyvale,CA,True,other,Not fleeing,False
2015-04-09,shot,sword,22,M,W,Navarre,FL,False,attack,Not fleeing,False
2015-04-09,shot,gun,29,M,B,Monon,IN,False,attack,Car,False
2015-04-09,shot,gun,31,M,W,Straban Township,PA,True,attack,Not fleeing,False
2015-04-09,shot,gun,28,M,W,Boiling Springs,SC,False,attack,Not fleeing,False
2015-04-09,shot and Tasered,,54,M,,Kellyville,OK,False,attack,Other,False
2015-04-10,shot,knife,21,M,H,Corning,CA,False,attack,Not fleeing,False
2015-04-10,shot,gun,38,M,W,Topeka,KS,False,attack,Car,False
2015-04-11,shot,gun,66,M,W,Sand Springs,OK,True,attack,Not fleeing,True
2015-04-12,shot,gun,36,M,B,Indianapolis,IN,False,attack,Foot,True
2015-04-12,shot,machete,83,M,W,Oklahoma City,OK,True,other,Not fleeing,False
2015-04-12,shot,gun,32,M,W,Salemburg,NC,True,attack,Car,False
2015-04-13,shot,gun,27,M,H,Alton,IL,False,attack,Not fleeing,False
2015-04-14,shot,undetermined,26,M,B,DeSoto,TX,False,other,Foot,False
2015-04-14,shot,machete,31,M,W,Jonesboro,AR,True,attack,Not fleeing,False
2015-04-15,shot,gun,22,M,B,Miami,FL,False,other,Foot,False
2015-04-15,shot,knife,41,M,B,Spartanburg,SC,False,attack,Not fleeing,False
2015-04-15,shot,unarmed,41,M,B,Houston,TX,False,other,Car,False
2015-04-15,shot,toy weapon,51,M,W,Columbia,MO,False,attack,Car,True
2015-04-15,shot,gun,72,M,W,Canon City,CO,True,attack,Not fleeing,False
2015-04-15,shot,toy weapon,52,M,H,Montclair,CA,True,attack,Not fleeing,False
2015-04-16,shot,knife,47,M,H,Shafter,CA,False,other,Not fleeing,False
2015-04-17,shot,gun,18,M,B,Chicago,IL,False,attack,Foot,False
2015-04-17,shot,gun,29,M,H,Hemet,CA,False,attack,Not fleeing,False
2015-04-17,shot,knife,23,M,B,Jennings,MO,True,other,Not fleeing,True
2015-04-18,shot,gun,43,M,H,Phoenix,AZ,True,attack,Not fleeing,False
2015-04-18,shot,gun,45,M,W,Panama City,FL,False,attack,Not fleeing,False
2015-04-19,shot,gun,40,M,W,Wilmore,KY,True,attack,Not fleeing,False
2015-04-19,shot,knife,44,M,W,Sidney,NE,False,attack,Not fleeing,False
2015-04-20,shot,gun,25,M,H,Mission,TX,False,other,Not fleeing,False
2015-04-21,shot,unarmed,37,M,N,Lakewood,WA,True,other,Foot,False
2015-04-21,shot,knife,59,M,W,Irmo,SC,True,other,Not fleeing,False
2015-04-21,shot,knife,35,M,H,Los Angeles,CA,True,other,Not fleeing,False
2015-04-21,shot,,35,M,B,Trenton,NJ,False,attack,Not fleeing,False
2015-04-22,shot,unarmed,18,M,B,Portsmouth,VA,False,other,Not fleeing,False
2015-04-22,shot,knife,51,M,H,Bisbee,AZ,False,other,Not fleeing,False
2015-04-22,shot,gun,30,M,W,Queens,NY,True,attack,Foot,False
2015-04-22,shot,gun,31,M,B,Fort Worth,TX,False,attack,Foot,False
2015-04-22,shot,gun,39,M,A,Eldorado Springs,CO,False,attack,Not fleeing,False
2015-04-23,shot,toy weapon,26,M,W,Sylmar,CA,True,attack,Not fleeing,False
2015-04-23,shot,gun,51,M,W,Rufe,OK,False,attack,Not fleeing,False
2015-04-23,shot,unarmed,19,M,H,Long Beach,CA,False,other,Not fleeing,False
2015-04-24,shot,,46,F,W,Windsor,CA,False,attack,Car,False
2015-04-24,shot,gun,49,M,W,Eugene,OR,False,attack,Not fleeing,False
2015-04-24,shot,gun,63,M,W,Miami,OK,False,attack,Car,False
2015-04-24,shot,gun,20,M,B,Trinidad,CO,False,attack,Foot,True
2015-04-25,shot,machete,25,M,W,Victoria,TX,True,other,Not fleeing,True
2015-04-25,shot,unarmed,24,M,B,New York,NY,True,attack,Foot,False
2015-04-25,shot,knife,58,M,W,Clermont,FL,True,other,Not fleeing,False
2015-04-26,shot,unarmed,29,M,W,Bunch,OK,False,attack,Not fleeing,False
2015-04-26,shot,gun,76,M,W,Kings County,CA,False,attack,Not fleeing,False
2015-04-26,shot,gun,45,M,W,Fountain Valley,CA,False,attack,Not fleeing,False
2015-04-27,shot,hammer,20,M,B,Detroit,MI,False,other,Not fleeing,False
2015-04-28,shot,gun,58,M,W,Mansfield,OH,False,attack,Not fleeing,False
2015-04-28,shot,gun,21,M,B,New Orleans,LA,False,attack,Not fleeing,True
2015-04-28,shot,gun,27,M,W,Marion,IL,True,attack,Not fleeing,False
2015-04-29,shot,knife,26,M,W,Chickasha,OK,False,other,Foot,False
2015-04-29,shot,gun,33,M,H,Mesa,AZ,True,attack,Not fleeing,False
2015-04-29,shot,gun,27,M,H,Elk Grove,CA,False,attack,Not fleeing,False
2015-04-29,shot,gun,25,F,B,Atlanta,GA,False,attack,Not fleeing,False
2015-04-29,shot,gun,53,M,B,Emporia,VA,True,attack,Not fleeing,False
2015-04-29,shot,gun,53,M,W,Nashville,TN,True,attack,Not fleeing,False
2015-04-30,shot,unarmed,42,M,O,San Diego,CA,True,other,Not fleeing,True
2015-04-30,shot and Tasered,metal object,22,M,H,El Paso,TX,False,other,Not fleeing,False
2015-05-02,shot,gun,52,M,W,Smyrna,DE,False,attack,Not fleeing,True
2015-05-03,shot,gun,36,M,W,Roosevelt,UT,True,attack,Not fleeing,True
2015-05-03,shot,gun,30,M,B,Garland,TX,False,attack,Not fleeing,False
2015-05-03,shot,gun,34,M,O,Garland,TX,False,attack,Not fleeing,False
2015-05-03,shot,gun,44,M,H,Albuquerque,NM,False,attack,Not fleeing,False
2015-05-03,shot,gun,53,M,W,Chavies,KY,False,attack,Not fleeing,False
2015-05-04,shot,toy weapon,36,M,W,Kennewick,WA,True,attack,Not fleeing,False
2015-05-05,shot,unarmed,29,M,B,Venice,CA,False,attack,Not fleeing,True
