gene.name,ka.nv.1,ka.nv.2,ka.nv.3,ka.v.1,ka.v.2,ka.v.3,tbg.nv.1,tbg.nv.2,tbg.nv.3,tbg.v.1,tbg.v.2,tbg.v.3
COR78,582.2386,952.2906,852.2696,7782.4481,8178.4668,8328.7945,3193.3505,808.3547,1951.1572,5135.0608,5766.5751,6330.8716
485614,136.162,142.9617,141.0786,422.1992,476.5624,453.6869,145.1152,157.1599,152.8283,152.2502,182.4497,159.3053
ATHVA22D,146.1862,120.5132,109.191,769.1016,863.6118,751.944,241.3152,54.5694,65.2859,546.409,582.2863,670.4936
A11,219.6969,346.1801,216.4494,748.9329,830.8324,835.96,294.3068,161.5254,90.51,729.9551,817.1417,543.4527
BTI1,550.4954,635.648,522.764,1586.6083,1835.6479,1774.1396,741.8813,539.1457,583.1215,1186.7057,1435.3357,1471.053
UGT78D3,22.5544,17.7225,17.3933,973.4783,1176.2771,1092.2091,398.6593,187.7187,51.9319,964.2513,1178.1592,961.8811
941255,11.6949,22.4485,10.6292,458.5029,528.2531,504.0965,131.2559,46.5659,63.8021,343.4088,431.8623,392.2136
VTC2,1013.279,875.4929,920.8763,2624.6266,2545.4485,2752.927,1284.0253,962.6042,1014.8985,1809.2399,2554.2958,2061.894
ATGRP9,18.3777,22.4485,12.5618,1284.0771,1033.8127,1278.4448,292.6762,42.2003,56.3833,630.9925,835.5808,881.2202
BGAL2,626.5122,317.824,539.1909,2412.1824,2097.8833,2486.8761,544.5898,786.5269,761.1739,1367.7143,1701.2464,1970.1422
ATCHS,476.1492,444.2447,166.2022,2901.6108,2627.3971,3112.7959,1105.4846,527.5042,212.1791,2023.236,2683.3693,1862.2583
RAP2.1,0,0,1.9326,84.7087,127.3355,106.4204,16.3051,8.7311,7.4188,54.9792,65.9924,70.5783
ATUBC8,487.0088,418.2517,419.3707,751.6221,833.3539,803.7539,607.3643,606.0841,943.6776,709.6551,821.9941,777.3693
910871,31.7433,66.1641,48.3146,977.5121,1193.9276,884.9694,237.239,125.8734,290.8189,720.6509,1070.4363,832.8237
AtCHIL,182.9416,128.7837,92.764,1043.3966,1119.5435,1197.2292,471.2169,163.7082,53.4157,953.2554,1056.8496,810.6419
ATRAB7B,260.6291,262.2934,293.7528,431.6112,460.1727,469.0898,348.1135,301.9507,418.4231,353.5588,427.0099,432.544
F3'H,327.457,306.009,236.7415,1352.6508,1608.7134,1708.3271,672.5847,349.2442,167.666,1238.3016,1520.7377,1021.3685
AGL22,667.4443,685.2711,707.3258,2046.4558,2298.3421,2257.2321,929.3897,652.65,965.9341,1295.8184,1521.7081,1422.6564
926813,118.6196,163.0473,115.955,313.2879,269.7999,313.66,138.5932,125.8734,100.8963,229.2211,208.6526,269.2057
KIN1,375.0719,594.2955,423.2359,1234.3275,1296.0481,1457.6791,740.2508,605.3565,1069.798,993.8555,1149.0449,1160.5086
926055,110.2661,114.6057,81.1685,839.02,873.6978,652.5249,235.6085,100.4077,166.1822,622.5341,698.7435,727.9645
ATISU1,415.1687,515.1348,398.1123,974.8229,1085.5033,1082.4072,502.1966,424.9137,632.0859,641.9883,732.7102,757.2041
AtSSI2,558.8488,622.6515,625.1909,1331.1375,1314.9593,1478.6831,851.9406,616.2704,896.1969,1200.2391,1261.6203,1146.3929
ERD10,646.5606,864.8594,680.2696,2720.092,2752.211,2849.5455,1091.6253,776.3406,1004.5121,1686.5939,1967.1571,1832.0105
922379,81.8643,101.6092,88.8989,762.3787,907.738,740.7418,232.3474,130.9666,120.1854,532.0299,831.6989,730.9893
494379,436.8878,457.2412,459.955,644.0554,719.8866,680.5303,489.1525,419.8206,578.6702,504.1173,624.9873,628.1467
LEA14,42.6028,47.2601,62.809,800.0271,1075.4173,910.1742,366.0491,113.5043,195.8576,774.7843,910.3075,851.9807
APA1,1467.7092,1910.4886,1508.3818,2947.3266,3376.2809,3097.393,1621.5405,1481.3773,1939.2871,2111.2027,2540.7091,2517.628
FTSH5,1813.5439,2731.6324,1964.4717,4810.919,5232.1007,5017.1605,3259.3861,2450.5298,3739.0998,3407.0211,3535.4482,3043.9403
AAPT1,290.7016,265.8379,266.6966,435.645,497.9951,512.4981,242.9457,239.3778,278.9487,381.4713,465.829,415.4036
475836,225.5444,216.2149,259.9326,1075.6666,1418.3405,1256.0405,478.5542,423.4585,547.511,1087.7431,1328.5832,1154.459
ATTIL,421.0162,544.6724,270.5618,1273.3204,1488.9424,1534.6938,623.6694,716.6781,971.8692,943.9512,1185.923,1198.8225
AT-RSH2,157.0457,98.0647,184.5618,645.4,758.9698,807.9547,225.0101,239.3778,227.0168,548.1007,929.7171,971.9637
ATSAT32,266.4765,249.2969,265.7303,1390.2991,1418.3405,1333.0552,554.3728,365.9788,394.6828,1132.5723,1471.2433,1489.2017
481379,101.0773,115.7872,108.2247,17.4796,18.9112,33.6064,71.7424,88.0386,50.4482,54.9792,8.7343,19.157
944923,225.5444,405.2552,276.3595,751.6221,718.6259,820.5571,340.7762,285.2161,409.5205,535.4132,576.4634,579.7501
335745,232.2272,244.5709,271.5281,334.8012,355.5307,343.0657,247.8373,223.3707,320.4943,261.3628,288.2317,264.1644
339588,556.3428,782.1543,610.6965,1054.1533,1030.0304,1142.6187,789.9813,630.8223,945.1613,823.8427,929.7171,927.6002
LTI30,74.3461,114.6057,60.8764,3267.3374,3811.2386,3695.3074,1281.5795,309.9542,437.7121,2428.3907,2979.3648,2892.7012
492760,136.162,151.2322,131.4157,739.5208,610.2016,767.3469,348.9288,194.2671,275.9812,451.6756,611.4006,595.8823
ATPANK2,518.7521,570.6654,487.0112,726.075,819.4857,728.1394,602.4728,614.8152,618.732,763.7885,732.7102,751.1545
AtBAM3,692.5048,1391.8093,677.3707,4045.8511,4716.4551,4613.8833,1978.6218,1426.8079,2020.8944,2928.2788,3583.972,3227.4439
334956,26.7312,69.7086,34.7865,984.235,1273.3546,1146.8196,322.0254,106.2284,133.5393,690.2009,833.6399,790.4767
HSR8,179.6002,212.6703,165.2359,619.8529,513.1241,672.1287,245.3915,154.2495,145.4094,619.1508,554.1424,586.808
315868,3.3414,11.815,21.2584,155.9717,206.7625,219.8421,51.361,10.9139,8.9026,145.4835,188.2726,210.7266
ATOEP16-1,831.1728,1385.9018,927.6403,2260.2445,2324.8178,2377.6552,1327.2338,1030.9978,1710.7865,1656.1438,1771.1208,1738.2422
485789,205.496,185.4958,202.9213,342.8687,395.8746,417.2799,187.5085,199.3602,188.4388,356.9421,393.0432,423.4697
BBX8,76.8522,109.8797,82.1348,334.8012,409.7428,319.2611,172.0186,174.6221,179.5361,281.6629,357.1356,284.3296
PLA2-BETA,40.9321,40.1711,50.2472,13.4458,11.3467,16.8032,34.2407,31.2865,23.7403,20.3,14.5572,16.1322
950331,93.5591,95.7017,81.1685,33.6146,25.2149,36.407,75.0034,96.7697,71.2209,44.8292,38.8191,62.5122
AtCOR47,603.9577,604.929,635.8201,2371.8449,2617.3111,2848.1453,1226.1423,968.4249,1563.8933,1839.6899,2019.5629,1994.3405
ELIP,20.0484,43.7156,11.5955,1583.9191,2165.9636,1993.9817,490.783,26.9209,40.0618,1088.5889,1777.9141,1445.8465
494776,192.9657,258.7489,222.2472,841.7091,966.9931,799.5531,287.7847,232.1018,145.4094,596.3133,714.2712,798.5428
941538,20.0484,27.1745,15.4607,272.9504,371.9204,383.6735,38.3169,32.014,38.578,90.5043,194.0954,286.3462
ARFA1B,121.1257,168.9548,146.8764,197.6537,229.456,235.245,116.5813,114.9595,137.9906,192.0044,171.7745,165.3548
920960,81.8643,49.6231,92.764,364.3821,331.5765,422.881,65.2203,57.4798,53.4157,234.2961,174.6859,107.8839
NF-YA4,14.2009,14.178,7.7303,68.5737,64.2981,56.0107,10.5983,13.8242,5.9351,35.525,38.8191,40.3304
RPOD1,755.156,873.1299,744.0448,1587.9529,1568.3695,1481.4836,1096.5168,927.6798,1508.9938,1174.0182,1257.7384,1224.029
905237,335.8105,547.0354,403.9101,5389.0899,5933.0761,6175.1822,2418.8591,564.6114,802.7194,4005.026,4713.6074,4770.0834
486012,277.3361,350.9061,258,1214.1587,1415.8191,1198.6295,744.327,577.708,652.8587,1174.0182,1125.7535,1263.3512
480175,249.7695,337.9096,270.5618,1107.9366,1376.7359,1408.6697,525.8389,277.9401,286.3676,918.5762,1233.4764,1393.4169
487182,117.7843,80.3421,97.5955,36.3037,41.6047,47.6091,49.7305,69.8488,77.156,27.0667,42.701,32.2644
CLPP3,604.7931,796.3323,708.292,1310.9687,1419.6013,1394.667,924.4982,737.7783,1117.2786,1003.1596,1009.2962,915.5011
470552,351.6822,274.1084,315.0112,533.7996,573.64,610.5169,286.9695,287.3988,258.1759,474.5131,526.9691,484.9736
482252,220.5323,193.7663,180.6966,57.8171,89.513,79.8153,150.0068,164.4358,127.6042,102.346,74.7267,83.6857
480503,113.6075,150.0507,126.5843,236.6467,252.14940000000001,264.6507,159.7898,113.5043,145.4094,198.7711,176.6268,192.5779
ATCOM1,367.5538,357.9951,352.6966,482.7054,555.9895,495.6949,362.7881,309.9542,348.6859,477.0506,520.1757,540.428
ELIP2,63.4866,64.9826,126.5843,1042.0521,1671.7507,1657.9174,112.5051,5.8207,8.9026,367.0921,830.7284,149.2226
ATRGP2,1162.8066,1372.9052,1419.483,2882.7866,2791.2942,3199.6125,1394.0846,1036.8186,1118.7624,2279.5238,2799.8265,2636.6028
ARF1-BP,1574.6339,1578.4866,1506.4492,2229.3191,2326.0785,2222.2254,1312.5592,1594.154,1992.7028,1813.469,1926.3971,2282.7032
CBSX2,364.2124,422.9777,431.9325,837.6754,811.9212,775.7485,488.3372,445.2863,537.1247,559.9424,656.0425,649.3202
935759,244.7574,215.0334,210.6517,428.9221,506.8204,502.6962,339.1457,334.6923,565.3163,372.1672,473.5928,436.5771
946655,933.9208,1163.7794,839.7078,2147.2995,2643.7868,2402.86,1407.1287,1574.5091,2595.1133,1786.4023,1965.2162,1933.8448
CLPR1,608.1345,780.9728,688.9662,1148.2741,1256.9649,1200.0297,879.6592,702.8539,1121.7299,884.7428,1065.5839,925.5837
ATGSTF10,862.0807,867.2224,1029.101,1683.4183,1703.2694,1729.3311,763.0779,750.1473,865.0378,1091.9723,1195.6278,1337.9625
LCL5,30.0726,28.356,11.5955,264.8829,291.2326,315.0603,66.8508,22.5554,20.7728,242.7545,372.6632,372.0484
HMG BETA 1,750.1439,732.5312,767.2359,1149.6187,1146.0192,1128.6161,683.9982,704.309,930.3236,855.9844,1083.0525,1064.7237
AtFAH,349.1761,400.5292,347.8651,547.2454,611.4624,637.122,463.8796,448.9243,393.199,576.8591,597.8139,487.9984
YLS8,269.8179,317.824,287.955,547.2454,597.5942,607.7163,404.3661,312.8646,405.0691,497.3506,498.8252,521.271
ADH,41.7675,54.3491,19.3258,1917.3758,2603.4429,1879.1598,787.5355,116.4147,157.2796,1909.0483,2369.9051,2075.0014
312030,187.9536,199.6738,187.4606,509.5971,680.8035,604.9158,241.3152,151.3391,115.734,484.6631,519.2053,570.6758
UGT78D2,54.2977,59.0751,74.4045,830.9525,1342.6957,1096.4099,162.2356,75.6696,47.4806,475.359,835.5808,726.9563
ATUBC1,660.7615,635.648,717.955,945.2421,959.4286,935.3791,555.1881,614.8152,728.531,720.6509,805.496,811.6502
AtLETM1,250.6049,288.2865,297.6179,763.7233,896.3912,733.7405,354.6356,300.4955,448.0985,516.8048,467.77,539.4197
355042,1889.5607,2379.5449,1634.9661,4919.8303,6306.2573,5084.3734,2285.9727,2156.5826,2501.6358,3935.6676,4228.3688,4353.6715
943755,149.5276,203.2183,189.3932,373.7942,494.2129,453.6869,190.7695,138.2425,135.023,296.8879,367.8108,355.9162
480962,126.9731,210.3073,168.1348,356.3146,295.0148,361.2692,181.8017,239.3778,201.7927,336.6421,368.7813,296.4288
488567,14.2009,15.3595,5.7978,275.6396,364.3559,240.8461,179.3559,44.3831,37.0942,522.7257,401.7775,324.6601
ATPTPKIS1,547.154,668.7301,557.5505,1704.9316,1592.3237,1863.7568,1039.449,841.0963,891.7456,1602.8563,1850.6999,1676.7383
PI-4KBETA2,215.5202,194.9478,235.7753,79.3304,56.7336,64.4123,122.2881,105.5008,60.8346,45.6751,24.2619,31.2561
941201,263.1351,191.4033,206.7865,505.5633,564.8147,604.9158,459.8033,387.0789,296.754,589.5466,702.6254,518.2462
GASA1,31.7433,27.1745,29.9551,549.9346,616.5054,417.2799,302.4593,119.3251,321.978,541.334,310.5527,260.1314
928005,596.4396,1228.762,844.5392,2038.3883,2191.1786,2156.4128,1437.2931,1136.4987,1483.7698,1474.2894,1406.2214,1312.756
AtBRN1,233.0625,209.1258,227.0786,61.8508,35.3009,29.4056,198.922,190.6291,181.0199,33.8334,33.9667,46.38
ARP5,172.9174,178.4068,169.1011,110.2558,90.7738,99.419,167.1271,196.4498,172.1173,175.9336,127.1325,172.4127
938193,710.0471,797.5138,772.0673,1368.7858,1661.6648,1613.1088,876.3982,822.9065,927.3561,1108.8889,1136.4287,1254.2768
AtLARP1b,153.7043,171.3178,134.3146,325.3892,369.3989,341.6654,153.2678,143.3356,148.377,249.5212,279.4974,274.247
ATMYO5,121.1257,87.4311,95.6629,38.9929,21.4327,42.008,75.8186,96.7697,87.5424,41.4459,28.1438,27.2231
APRR5,365.8831,517.4978,433.8651,1181.8887,1509.1143,1377.8638,903.3016,773.4303,1163.2755,1168.0974,1593.5234,1523.4826
475243,253.1109,226.8484,226.1123,795.9933,799.3137,571.3094,325.2864,207.3637,203.2765,777.3218,670.5997,579.7501
ASAR1,363.3771,342.6356,346.8988,599.6842,682.0642,670.7284,359.5271,357.2477,381.3288,407.6922,509.5005,542.4445
ACT2,1105.1675,1221.673,1097.7077,1618.8783,1656.6218,1851.1544,1295.4389,1187.4301,1746.397,1363.4851,1522.6786,1451.896
AER,261.4644,295.3755,257.0337,592.9612,557.2502,508.2973,356.2661,317.9577,540.0922,420.3797,399.8366,305.5031
491750,76.0168,62.6196,86.9663,30.9254,32.7794,36.407,44.839,73.4868,40.0618,57.5167,79.5791,35.2891
ATWRKY7,65.9926,60.2566,66.6741,252.7817,269.7999,190.4365,57.883,105.5008,56.3833,142.946,221.2688,145.1896
APRR7,989.8892,882.5819,979.8201,1850.1466,1780.175,1853.9549,1374.5185,1077.5637,1215.2074,1588.4771,1500.3576,1444.8382
GATL9,252.2756,197.3108,269.5955,115.6342,69.3411,86.8166,286.1542,205.1809,253.7246,92.196,84.4315,97.8013
ANTR2,557.1782,723.0792,640.6516,1159.0308,1017.423,1020.7954,900.8558,721.0437,1019.3498,974.4013,943.3038,842.9063
emb2742,231.3918,132.3282,330.4719,1321.7254,1558.2835,1816.1477,1037.8185,386.3513,433.2608,2326.0447,2321.3813,2175.8275
ASP4,134.4913,134.6912,153.6404,12.1012,12.6075,15.4029,172.8339,141.1528,191.4063,93.8876,47.5534,50.4131
919385,285.6895,282.379,272.4943,383.2062,419.8288,448.0858,280.4474,291.7644,305.6566,347.638,466.7995,474.891
929352,223.8737,204.3998,188.4269,92.7762,94.556,134.4257,178.5407,199.3602,192.8901,109.9585,116.4573,127.0409
MBR2,398.4617,381.6251,317.9101,728.7641,733.7548,697.3335,357.0813,407.4515,375.3937,525.2632,572.5815,479.9323
AGL25,163.7285,189.0403,144.9438,49.7496,61.7766,68.6131,3.261,5.8207,0,14.3792,13.5867,19.157
496593,45.1089,60.2566,50.2472,350.9362,351.7485,364.0697,80.7102,72.0316,80.1236,255.442,246.5012,191.5696
ATSUS4,37.5907,94.5202,15.4607,931.7962,1191.4061,994.1903,427.1932,105.5008,60.8346,1525.8853,1515.8853,1589.0195
476506,182.1062,166.5918,127.5505,481.3608,479.0839,394.8756,269.0339,170.2565,127.6042,381.4713,445.449,340.7923
ATSTE24,455.2655,457.2412,500.5393,660.1904,711.0614,728.1394,414.9644,384.8962,369.4587,707.9634,708.4483,814.675
RAP2.2,805.277,763.2502,720.8538,1910.6529,2607.2251,1895.963,1097.3321,744.3266,974.8367,1383.7851,1944.8362,1807.8122
486708,877.117,944.02,773.9999,415.4762,342.9232,396.2759,797.3186,870.9276,958.5153,541.334,490.0909,520.2627
ATGCP4,211.3434,231.5744,208.7191,104.8775,99.599,99.419,156.5288,188.4463,133.5393,159.0169,132.9554,152.2474
494214,23.3898,28.356,13.5281,170.7621,234.499,176.4338,89.678,69.8488,35.6105,162.4002,171.7745,173.4209
478834,166.2346,125.2392,144.9438,434.3004,549.6858,436.8836,247.8373,178.26,198.8251,322.2629,366.8404,274.247
480568,84.3703,72.0716,52.1798,373.7942,383.2671,337.4646,125.5491,96.0421,69.7372,260.517,287.2612,174.4292
930813,121.961,106.3352,136.2472,225.89,254.6709,235.245,165.4966,136.0597,133.5393,176.7794,185.3611,187.5366
481248,35.0847,31.9006,12.5618,231.2683,355.5307,351.4673,95.3847,47.2935,47.4806,269.8212,478.4452,213.7514
ATCYS6,296.5491,353.2691,239.6404,906.2491,1022.4659,1265.8423,542.144,466.3865,640.9885,931.2637,1170.3954,1123.2029
492923,117.7843,82.7051,86.9663,416.8208,588.7689,480.2919,145.1152,107.6836,97.9288,301.9629,358.1061,380.1144
c-NAD-MDH2,595.6042,762.0687,699.5954,1245.0841,1236.793,1450.6777,778.5677,603.1738,884.3268,1063.2139,1098.5801,961.8811
ATFP6,252.2756,189.0403,230.9438,536.4887,793.01,663.7271,317.9491,332.5095,350.1697,595.4674,659.9244,689.6506
PP2C52,372.5659,376.8991,309.2134,115.6342,177.7653,112.0214,220.9339,364.5236,347.2021,140.4085,137.8078,145.1896
475823,981.5357,1215.7655,1007.8426,1784.262,1703.2694,1867.9576,1299.5151,1164.8748,1360.6169,1378.7101,1364.4908,1201.8473
COR27,40.9321,83.8866,54.1124,580.86,584.9867,568.5088,170.3881,264.1159,183.9874,489.7381,573.552,646.2954
KNAT3,492.0209,684.0896,454.1572,927.7625,796.7922,849.9627,819.3304,790.1649,827.9435,790.0094,764.736,941.7159
928719,169.576,207.9443,152.6741,457.1583,591.2904,431.2826,185.8779,175.3497,179.5361,415.3047,541.5262,538.4114
AT-E1 ALPHA,766.0155,844.7739,831.0111,1125.4162,1330.0882,1387.6657,886.1813,787.2545,952.5802,1081.8222,1165.543,1158.492
ATMYB111,36.7554,44.8971,33.8202,363.0375,538.339,470.4901,217.6729,130.9666,41.5456,476.2048,608.4892,506.1471
492943,1022.4679,1000.7321,946.9662,1355.34,1517.9396,1534.6938,987.2728,1037.5462,1111.3435,1290.7433,1474.1548,1314.7725
489219,476.1492,528.1314,541.1235,1000.37,1366.6499,1256.0405,644.0508,528.9594,663.2451,1152.8723,1256.7679,1225.0373
887585,0,2.363,0,30.9254,59.2551,58.8113,0,3.638,2.9675,20.3,47.5534,41.3387
AtENODL2,683.3159,1344.5492,769.1684,1780.2283,2012.1525,1982.7796,1080.2118,1081.9293,1382.8734,1326.2684,1466.3909,1630.3582
485777,60.1452,68.5271,50.2472,251.4371,221.8915,225.4432,180.1712,46.5659,90.51,302.8087,311.5232,232.9083
933960,452.7595,491.5048,469.6179,828.2633,1065.3313,894.7713,520.9474,444.5587,492.6116,834.8386,765.7065,824.7576
ATPHS2,1316.5109,1902.2181,1207.865,4006.8582,4091.1245,3818.531,3233.298,2748.1149,3854.8338,3756.3507,4003.2181,3924.1523
490318,1563.7744,1654.1027,1524.8088,2000.7399,2181.0926,2044.3914,1524.5253,1535.2191,1759.7509,1664.6022,1836.1427,1819.9113
GAPC,1291.4504,1802.9719,1534.4717,2624.6266,2788.7727,2587.6954,1513.927,1178.699,1761.2347,1982.6359,2253.4479,2262.538
475488,108.5954,144.1432,103.3932,1111.9704,673.239,856.9641,163.0508,124.4182,111.2827,357.788,460.0062,500.0975
318821,261.4644,330.8205,319.8427,570.1033,586.2474,541.9037,361.1576,296.8575,351.6534,521.034,460.0062,534.3784
GAPB,1562.939,2476.428,1795.3706,3690.8812,3397.7136,3871.7412,3191.72,2422.8813,4403.8286,2572.1825,2720.2474,2180.8688
495650,161.2225,176.0438,232.8764,332.1121,364.3559,376.6721,215.2271,203.7258,224.0492,319.7254,352.2832,263.1562
ATPEX14,637.3717,734.8942,701.528,1107.9366,1304.8733,1232.2359,701.1186,619.9084,753.755,952.4096,1226.6831,1064.7237
AGL16,88.5471,88.6126,108.2247,211.0996,170.2009,166.6319,150.0068,152.0667,136.5068,153.096,188.2726,182.4953
BBX8,15.0363,25.993,12.5618,64.54,71.8626,88.2169,40.7627,39.29,43.0293,54.1334,91.2248,79.6526
UBC28,386.7668,362.7211,413.573,634.6433,675.7605,683.3308,397.0288,384.1686,548.9948,504.9632,587.1387,568.6593
936128,50.121,57.8936,35.7528,131.7692,97.0775,114.822,59.5136,34.9244,25.2241,27.9125,46.5829,52.4296
919306,375.9073,391.0771,427.1011,1198.0237,1338.9135,1816.1477,528.2847,325.9612,100.8963,1030.2263,1125.7535,1029.4346
912019,168.7406,251.6599,182.6292,321.3554,375.7027,424.2812,257.6203,233.557,302.689,323.9546,399.8366,302.4783
ATCBL3,263.1351,272.9269,262.8314,361.6929,360.5737,344.4659,238.0542,267.0263,243.3382,276.5879,335.7851,278.2801
490265,167.9053,167.7733,164.2696,492.1175,384.5279,428.482,317.9491,352.8821,354.621,556.5591,695.8321,557.5684
JMJ12,145.3508,126.4207,117.8876,59.1617,54.2121,51.8099,99.461,151.3391,103.8639,85.4293,74.7267,87.7187
ASKalpha,689.9987,634.4665,598.1348,859.1887,1096.85,1043.1997,603.2881,727.592,734.466,767.1718,999.5914,967.9307
AtSWEET17,127.8085,109.8797,151.7078,8.0675,12.6075,21.004,22.8271,25.4657,26.7079,10.9958,26.2029,17.1404
ATSK13,438.5585,386.3511,445.4606,731.4533,695.9324,802.3536,350.5593,388.5341,321.978,795.0844,884.1047,916.5094
491050,155.375,151.2322,131.4157,63.1954,63.0374,47.6091,132.8864,157.1599,114.2503,93.8876,46.5829,59.4874
4CL3,70.1694,138.2357,60.8764,442.3679,368.1382,415.8796,188.3237,118.5975,62.3183,432.2214,287.2612,180.4787
ATMSD1,709.2118,843.5924,783.6628,1276.0096,1410.7761,1578.1021,795.6881,643.9189,796.7844,854.2928,941.3628,874.1624
CYP89A6,365.0478,398.1661,436.764,1550.3045,1220.4032,1152.4206,573.1237,515.1351,424.3582,934.647,918.0714,805.6006
anac078,388.4375,361.5396,428.0674,533.7996,582.4652,597.9145,445.944,458.383,465.9037,630.1467,571.611,543.4527
UBI10,1047.5283,1504.0519,1111.2358,1848.802,2126.8805,1916.967,1279.949,1157.5989,1738.9782,1461.6019,1625.5492,1532.5569
945228,2649.7288,3902.5009,2565.5053,4871.4253,4679.8934,5455.4444,4849.947,3950.8245,5136.8109,4346.7432,4514.6596,3766.8636
SQS2,56.8038,24.8115,34.7865,289.0854,263.4962,196.0375,112.5051,48.0211,87.5424,418.688,350.3422,440.6101
ATPUB44,176.2588,160.6843,194.2247,79.3304,88.2523,71.4137,141.8542,175.3497,121.6691,82.0459,63.081,65.537
WLIM2a,344.164,348.5431,311.146,115.6342,100.8598,145.6279,245.3915,281.5781,241.8545,142.1002,148.483,132.0822
ATCEN2,236.4039,196.1293,202.9213,283.7071,380.7456,337.4646,171.2034,95.3146,161.7309,199.6169,218.3574,231.9001
ATPAL1,573.0498,349.7246,358.4943,1025.9171,1038.8557,1062.8035,789.9813,553.6975,274.4974,1505.5853,1195.6278,944.7407
ADS2,730.9309,902.6675,789.4606,1528.7912,1497.7676,1764.3378,961.9999,853.4654,1249.3341,1267.06,1653.693,1545.6643
AtDRM2,570.5437,503.3198,524.6966,1054.1533,1376.7359,1562.6992,607.3643,811.9927,1090.5708,929.572,1168.4545,1178.6573
ATHSP93-V,3516.8216,5011.9312,4057.4601,6919.2257,7701.9044,7417.22,4697.4944,3877.3377,5599.7471,5164.6651,5727.756,5565.6014
PECT1,332.4691,346.1801,393.2808,537.8333,603.8979,532.1019,432.0847,403.8136,427.3257,559.0966,587.1387,515.2214
496494,130.3145,93.3387,123.6854,318.6662,370.6597,306.6587,191.5847,195.7222,207.7278,328.1838,435.7442,360.9575
929393,172.9174,192.5848,215.4831,399.3412,412.2643,420.0804,298.383,229.1915,268.5623,312.9587,361.988,302.4783
